CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,3,2,1,2,1,0,100,97,93,1027,1026,1024,10,2,0,13,6,,0.00,7,Fog-Rain,224
2016-1-2,-1,-4,-7,1,-6,-13,100,83,55,1025,1024,1023,26,8,0,35,18,52,0.00,7,Fog-Rain,94
2016-1-3,-8,-10,-11,-12,-13,-14,79,71,58,1023,1017,1007,26,12,10,35,26,47,0.00,5,Snow,105
2016-1-4,-7,-9,-12,-12,-13,-15,79,68,54,1008,1000,997,11,10,8,26,19,,0.00,6,,94
2016-1-5,-7,-8,-9,-9,-11,-13,93,76,64,1004,1001,999,10,5,2,19,14,,0.25,7,Snow,83
2016-1-6,-7,-8,-9,-8,-9,-11,93,86,78,1007,1005,1003,5,4,2,14,11,,1.02,7,Snow,75
2016-1-7,-2,-6,-8,-3,-7,-10,94,86,80,1007,1003,997,5,4,3,26,13,,0.00,8,Snow,97
2016-1-8,6,1,-4,1,0,-3,100,79,52,1005,999,996,31,8,1,40,23,61,0.00,6,Rain-Snow,230
2016-1-9,4,1,-2,1,-2,-3,100,81,57,1007,1005,1003,10,10,10,14,8,,0.00,4,Fog,154
2016-1-10,3,1,-2,3,0,-4,100,93,86,1003,998,995,26,9,3,16,10,,3.05,6,Fog-Rain,142
2016-1-11,4,3,2,4,2,1,100,95,87,995,992,988,26,7,3,13,8,,1.02,7,Fog-Rain,138
2016-1-12,4,3,1,4,2,1,100,95,92,998,992,988,19,7,3,19,8,,4.06,7,Rain,217
2016-1-13,4,2,0,3,1,-1,100,92,85,1013,1003,997,26,10,5,23,13,,0.00,6,Rain-Snow,260
2016-1-14,4,2,-1,1,-1,-3,93,84,70,1013,1009,1005,10,9,8,19,11,,0.00,5,Rain-Snow,195
2016-1-15,1,0,-1,0,-2,-3,100,90,80,1015,1008,1004,10,6,4,13,6,,0.00,7,Snow,45
2016-1-16,0,-1,-1,-1,-2,-4,93,85,75,1019,1017,1016,10,9,3,13,8,,0.00,6,Snow,246
2016-1-17,0,-1,-2,-2,-2,-4,100,91,80,1024,1021,1017,10,7,1,11,5,,0.00,6,Snow,334
2016-1-18,-2,-6,-8,-3,-7,-9,100,88,74,1024,1022,1019,10,10,5,14,8,,0.00,2,Fog-Snow,255
2016-1-19,-3,-7,-10,-6,-8,-11,100,83,69,1019,1015,1012,10,10,10,21,8,,0.00,6,Fog,207
2016-1-20,0,-2,-4,-2,-4,-7,100,83,69,1019,1014,1011,10,8,2,21,13,,0.00,5,Snow,293
2016-1-21,-2,-4,-8,-5,-7,-9,93,80,69,1032,1027,1020,10,10,10,19,10,,0.00,5,,278
2016-1-22,-2,-6,-9,-8,-9,-10,93,78,59,1033,1031,1026,,,,23,8,,0.00,,,151
2016-1-23,3,-2,-7,3,-3,-10,100,89,68,1031,1026,1023,10,2,0,21,11,,0.00,6,Fog-Snow,225
2016-1-24,6,4,3,4,3,1,100,93,87,1032,1030,1025,10,7,2,14,11,,0.00,6,Rain,225
2016-1-25,10,7,3,9,7,3,100,98,93,1025,1024,1022,10,4,1,19,11,,0.00,7,Rain,247
2016-1-26,11,8,6,7,6,5,100,82,67,1022,1020,1015,10,10,10,27,16,,0.00,5,,227
2016-1-27,12,10,8,7,6,4,87,73,58,1015,1013,1010,10,10,10,27,23,,0.00,7,Rain,219
2016-1-28,12,6,1,7,2,-3,82,68,50,1024,1017,1009,10,10,10,35,24,60,0.00,5,Rain,260
2016-1-29,9,4,0,3,0,-3,81,69,61,1024,1020,1018,10,10,10,32,19,,0.00,6,Rain,218
2016-1-30,9,7,4,5,4,2,87,77,66,1017,1008,1001,10,10,10,37,31,63,0.00,7,Rain,225
2016-1-31,6,3,2,2,-1,-1,87,73,61,1007,1006,1003,10,10,10,39,26,52,0.00,5,Rain,248
2016-2-1,11,7,4,9,5,2,100,87,71,1013,1010,1006,10,9,4,40,18,61,0.00,6,Rain,244
2016-2-2,12,9,5,8,4,0,93,72,44,1010,1008,1006,10,10,9,48,34,69,0.00,5,Rain,255
2016-2-3,7,4,3,1,-1,-3,76,64,49,1015,1011,1007,10,10,10,39,32,58,0.00,4,,261
2016-2-4,4,3,2,2,1,0,93,86,75,1020,1016,1015,10,10,7,32,23,48,0.00,5,Rain,272
2016-2-5,6,2,-1,5,2,-2,100,88,70,1024,1022,1020,10,9,4,21,13,,0.00,5,Rain,242
2016-2-6,11,8,6,5,4,3,93,79,62,1020,1014,1008,10,9,7,26,13,,0.00,6,Rain,186
2016-2-7,10,7,4,5,2,1,93,72,58,1008,1004,1002,10,10,10,23,14,,0.00,6,Rain,172
2016-2-8,11,8,6,4,2,1,87,70,62,1004,997,992,10,10,10,39,23,72,0.00,5,Rain,198
2016-2-9,10,8,6,6,2,-1,93,66,53,996,991,980,10,10,10,37,29,58,0.00,6,Rain,197
2016-2-10,10,7,3,3,0,-1,87,71,57,994,990,980,10,10,10,63,32,82,0.00,5,Rain,241
2016-2-11,6,3,0,3,1,-2,93,82,66,1002,999,994,10,10,10,34,24,,0.00,6,Rain,259
2016-2-12,6,2,-1,1,-1,-3,93,78,57,1003,1002,1000,10,10,10,19,13,,0.00,4,,248
2016-2-13,7,2,-2,0,-2,-3,93,80,53,999,995,992,10,9,5,26,8,,0.00,3,Fog,90
2016-2-14,5,3,1,4,2,-1,93,90,87,996,990,988,7,5,2,21,14,,0.00,6,Rain-Snow,89
2016-2-15,5,3,2,3,2,-1,93,89,81,1025,1010,997,10,8,1,19,11,,0.00,6,Rain-Snow,308
2016-2-16,2,0,-1,-2,-4,-6,81,70,56,1038,1035,1026,10,10,10,21,11,,0.00,6,,324
2016-2-17,4,1,-2,0,-3,-5,93,79,56,1037,1026,1014,10,8,3,29,11,48,0.00,5,Snow,97
2016-2-18,6,3,0,0,-1,-2,93,78,61,1017,1016,1014,10,9,6,16,11,,0.00,5,Snow,200
2016-2-19,5,3,1,1,-2,-5,93,73,49,1019,1018,1016,10,10,10,19,6,,0.00,7,,293
2016-2-20,6,3,0,4,1,-2,93,84,70,1019,1011,1004,10,10,5,32,18,39,0.00,6,Rain-Snow,212
2016-2-21,11,8,5,10,7,4,94,89,76,1007,1004,1000,10,9,5,35,21,53,0.00,7,Rain,244
2016-2-22,11,7,4,10,5,2,94,88,81,1005,1002,998,10,9,5,47,32,64,0.00,6,Rain,260
2016-2-23,7,4,2,2,1,-1,87,79,57,1011,1008,1005,10,10,10,26,19,,0.00,5,Rain,260
2016-2-24,7,3,-1,1,-1,-4,87,76,53,1014,1013,1011,10,10,10,27,21,,0.00,4,,267
2016-2-25,4,0,-3,0,-2,-4,100,84,61,1012,1011,1010,10,9,5,26,11,42,0.00,4,Rain-Snow,243
2016-2-26,5,1,-4,0,-1,-5,93,83,61,1013,1012,1011,10,10,6,23,13,,0.00,6,Fog-Snow,261
2016-2-27,6,1,-4,-2,-4,-7,100,71,42,1014,1014,1013,10,10,10,21,6,,0.00,6,Fog,73
2016-2-28,6,3,1,-1,-2,-4,81,69,49,1023,1018,1014,10,9,8,14,10,,0.00,6,,41
2016-2-29,3,1,0,-3,-4,-5,80,69,60,1024,1023,1021,10,10,10,24,13,37,0.00,6,,40
2016-3-1,5,2,-1,-3,-3,-4,80,72,53,1021,1016,1009,10,10,10,16,11,,0.00,5,Snow,293
2016-3-2,9,4,0,3,1,-2,93,82,66,1008,1000,995,10,9,5,34,14,,0.00,6,Rain-Snow,209
