CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-12-1,7,4,2,6,3,1,100,87,70,1023,1017,1003,31,16,8,29,16,39,1.02,7,Rain,278
2015-12-2,11,7,2,9,7,4,100,85,64,1027,1024,1021,31,9,3,26,16,,0.00,8,Rain,246
2015-12-3,12,9,5,5,4,2,81,68,46,1029,1028,1025,31,16,10,21,14,,0.00,7,Rain,224
2015-12-4,9,7,4,7,4,2,87,78,57,1029,1024,1019,31,16,10,29,18,50,0.51,6,Rain,222
2015-12-5,8,7,5,4,2,0,87,69,47,1029,1025,1021,31,19,10,27,21,,0.00,5,,214
2015-12-6,11,9,7,6,3,0,71,64,50,1025,1021,1019,10,10,10,29,23,,0.00,6,,221
2015-12-7,12,11,9,9,8,6,88,82,63,1035,1031,1025,31,14,10,26,14,,0.00,7,Rain,242
2015-12-8,12,9,6,8,7,3,93,84,66,1034,1031,1028,31,16,9,14,8,,0.00,6,Rain,145
2015-12-9,9,6,2,8,4,1,100,90,78,1036,1031,1027,31,14,3,21,13,,1.02,6,Rain,247
2015-12-10,6,3,1,2,1,-1,96,83,67,1036,1032,1026,31,28,19,19,13,,0.00,,,207
2015-12-11,6,4,2,4,2,-1,93,81,67,1027,1020,1016,31,15,10,29,18,,0.76,7,Rain,220
2015-12-12,7,5,3,4,3,1,95,83,69,1021,1018,1014,31,15,10,32,21,,0.76,5,Rain,245
2015-12-13,10,5,0,8,3,-1,100,88,71,1024,1014,1004,31,12,6,45,21,69,0.00,6,Fog-Rain,258
2015-12-14,3,0,-3,3,1,-3,100,95,86,1026,1024,1022,26,9,0,14,6,,0.00,7,Fog,130
2015-12-15,8,5,2,5,4,1,93,88,77,1028,1024,1021,19,10,5,11,8,,0.00,6,Rain,147
2015-12-16,8,6,4,6,4,3,93,88,77,1029,1027,1023,19,9,5,19,10,,0.00,6,Rain,138
2015-12-17,12,9,6,11,9,5,100,91,80,1023,1021,1019,31,13,3,21,13,,0.00,7,Rain,227
2015-12-18,12,11,9,11,9,7,100,89,79,1023,1020,1017,31,14,6,23,13,,1.02,6,Rain,235
2015-12-19,12,9,7,8,7,6,100,84,70,1023,1021,1020,31,18,10,19,11,,0.00,6,,208
2015-12-20,12,9,6,8,7,6,100,81,63,1022,1019,1017,31,21,10,19,11,,0.00,6,Fog-Rain,191
2015-12-21,11,10,9,9,7,5,94,84,68,1020,1018,1015,31,15,8,35,14,58,3.05,7,Rain,221
2015-12-22,13,11,8,9,7,5,82,74,60,1022,1019,1015,31,11,10,47,27,66,0.00,6,Rain,232
2015-12-23,14,9,5,8,6,2,81,65,48,1028,1021,1016,31,12,10,37,26,58,0.00,5,Rain,238
2015-12-24,11,7,3,8,5,2,100,82,66,1028,1024,1020,31,17,10,23,11,,0.25,5,Fog-Rain,182
2015-12-25,10,8,7,7,5,4,87,74,57,1027,1024,1019,31,15,10,26,19,,0.00,6,Rain,234
2015-12-26,14,11,8,9,8,7,93,70,53,1024,1021,1020,10,10,10,37,24,58,0.00,6,Rain,236
2015-12-27,12,10,8,9,7,6,87,74,58,1026,1024,1022,31,16,10,26,18,39,0.00,7,Rain,226
2015-12-28,7,6,5,10,4,2,94,78,65,1033,1031,1026,31,12,10,21,13,,0.00,5,Rain,24
2015-12-29,6,4,2,2,1,0,87,74,60,1035,1032,1031,31,13,10,29,23,42,0.00,4,,118
2015-12-30,3,1,-1,1,-3,-8,87,71,43,1036,1033,1028,31,16,10,26,19,,0.00,4,,124
2015-12-31,3,0,-3,1,-7,-11,96,58,25,1028,1025,1023,31,17,5,29,19,,0.00,7,Rain,158
